season,weather,humidity,windspeed,rent
1,1,81,0.0,2.833213344056216
1,1,80,0.0,3.713572066704308
1,1,80,0.0,3.4965075614664802
1,1,75,0.0,2.639057329615259
1,1,75,0.0,0.6931471805599453
1,2,75,6.0032,0.6931471805599453
1,1,80,0.0,1.0986122886681096
1,1,86,0.0,1.3862943611198906
1,1,75,0.0,2.1972245773362196
1,1,76,0.0,2.70805020110221
1,1,76,16.9979,3.6109179126442243
1,1,81,19.0012,4.04305126783455
1,1,77,19.0012,4.442651256490317
1,2,72,19.9995,4.553876891600541
1,2,72,19.0012,4.672828834461906
1,2,77,19.9995,4.709530201312334
1,2,82,19.9995,4.543294782270004
1,2,82,19.0012,4.219507705176107
1,3,88,16.9979,3.58351893845611
1,3,88,16.9979,3.6375861597263857
1,2,87,16.9979,3.6109179126442243
1,2,87,12.998,3.5553480614894135
1,2,94,15.0013,3.367295829986474
1,2,88,19.9995,3.6888794541139363
1,2,88,19.9995,2.8903717578961645
1,2,94,16.9979,2.8903717578961645
1,2,100,19.0012,2.302585092994046
1,2,94,12.998,1.9459101490553132
1,2,94,12.998,1.3862943611198906
1,3,77,19.9995,1.0986122886681096
1,2,76,12.998,0.6931471805599453
1,3,71,15.0013,2.1972245773362196
1,2,76,15.0013,3.044522437723423
1,2,81,15.0013,3.9889840465642745
1,2,71,16.9979,4.2626798770413155
1,2,66,19.9995,4.543294782270004
1,2,66,8.9981,4.330733340286331
1,3,76,12.998,4.0943445622221
1,3,81,11.0014,4.31748811353631
1,3,71,11.0014,4.343805421853684
1,1,57,12.998,4.189654742026425
1,2,46,22.0028,3.9889840465642745
1,1,42,30.0026,3.4339872044851463
1,1,39,23.9994,3.1354942159291497
1,1,44,22.0028,3.4657359027997265
1,1,44,19.9995,2.302585092994046
1,1,47,11.0014,2.1972245773362196
1,1,44,23.9994,1.791759469228055
1,1,44,27.9993,1.0986122886681096
1,1,47,26.0027,0.6931471805599453
1,1,47,19.0012,1.3862943611198906
1,1,50,26.0027,3.4339872044851463
1,1,50,12.998,4.174387269895637
1,1,50,19.0012,5.043425116919247
1,1,43,26.0027,4.48863636973214
1,1,43,16.9979,3.8066624897703196
1,1,40,22.0028,3.9512437185814275
1,1,35,19.9995,4.127134385045092
1,1,35,19.0012,4.127134385045092
1,1,30,19.0012,4.356708826689592
1,1,30,16.9979,4.290459441148391
1,1,30,16.9979,4.343805421853684
1,1,30,15.0013,5.062595033026967
1,1,32,7.0015,5.062595033026967
1,1,47,0.0,4.709530201312334
1,1,47,7.0015,3.970291913552122
1,1,64,8.9981,3.970291913552122
1,1,69,8.9981,3.044522437723423
1,1,55,7.0015,2.5649493574615367
1,1,55,7.0015,1.791759469228055
1,1,59,7.0015,1.0986122886681096
1,1,63,8.9981,0.6931471805599453
1,1,63,6.0032,1.0986122886681096
1,1,68,7.0015,1.6094379124341003
1,1,74,7.0015,3.6109179126442243
1,1,74,8.9981,4.553876891600541
1,1,69,11.0014,5.19295685089021
1,1,64,15.0013,4.61512051684126
1,2,69,22.0028,3.7612001156935624
1,1,51,19.9995,4.060443010546419
1,1,51,11.0014,4.3694478524670215
1,1,56,12.998,4.584967478670572
1,1,52,15.0013,4.1588830833596715
1,1,52,16.9979,4.189654742026425
1,1,49,16.9979,4.430816798843313
1,1,48,15.0013,5.3612921657094255
1,1,48,12.998,5.209486152841421
1,1,48,7.0015,4.727387818712341
1,1,48,7.0015,4.007333185232471
1,1,64,0.0,3.8918202981106265
1,1,64,6.0032,3.58351893845611
1,1,69,6.0032,2.4849066497880004
1,1,64,0.0,1.9459101490553132
1,1,74,6.0032,1.9459101490553132
1,1,74,6.0032,1.0986122886681096
1,1,48,15.0013,1.0986122886681096
1,1,47,11.0014,1.3862943611198906
1,1,47,15.0013,3.5263605246161616
1,1,43,12.998,4.48863636973214
1,1,40,19.9995,5.278114659230518
1,1,37,22.0028,4.7535901911063645
1,1,37,22.0028,4.060443010546419
1,1,33,22.0028,3.8501476017100584
1,1,33,22.0028,4.382026634673881
1,1,30,19.9995,4.276666119016055
1,1,28,12.998,4.143134726391533
1,1,28,12.998,4.143134726391533
1,1,28,6.0032,4.499809670330265
1,1,38,12.998,5.25227342804663
1,1,38,8.9981,5.135798437050262
1,1,38,7.0015,4.890349128221754
1,1,47,11.0014,4.499809670330265
1,1,51,12.998,3.784189633918261
1,1,55,8.9981,3.7612001156935624
1,1,47,0.0,2.995732273553991
1,1,55,0.0,2.4849066497880004
1,1,64,0.0,1.6094379124341003
1,1,64,0.0,1.0986122886681096
1,2,64,6.0032,0.6931471805599453
1,2,69,6.0032,1.6094379124341003
1,2,63,7.0015,3.6109179126442243
1,2,59,0.0,4.564348191467836
1,1,59,0.0,5.393627546352361
1,2,51,0.0,4.812184355372417
1,1,47,0.0,3.828641396489095
1,1,44,6.0032,4.0943445622221
1,1,35,0.0,4.442651256490317
1,1,35,7.0015,4.219507705176107
1,1,36,11.0014,4.2626798770413155
1,1,36,0.0,4.143134726391533
1,1,38,11.0014,4.465908118654584
1,1,51,11.0014,5.153291594497779
1,1,51,8.9981,5.099866427824199
1,1,55,6.0032,4.727387818712341
1,1,51,11.0014,4.248495242049359
1,2,55,15.0013,3.8918202981106265
1,2,51,19.0012,3.970291913552122
1,2,59,12.998,3.1780538303479458
1,2,64,12.998,2.8903717578961645
1,2,69,15.0013,2.0794415416798357
1,2,69,15.0013,0.6931471805599453
1,2,69,8.9981,0.6931471805599453
1,3,55,0.0,1.791759469228055
1,2,69,0.0,3.5553480614894135
1,1,69,8.9981,4.442651256490317
1,1,51,16.9979,5.351858133476067
1,1,47,19.9995,4.90527477843843
1,1,37,22.0028,4.1588830833596715
1,2,40,15.0013,4.219507705176107
1,2,37,16.9979,4.0943445622221
1,2,37,19.0012,4.304065093204169
1,2,40,16.9979,3.9318256327243257
1,2,37,11.0014,4.290459441148391
1,2,37,11.0014,4.477336814478207
1,2,37,0.0,5.236441962829949
1,1,40,6.0032,4.820281565605037
1,1,55,6.0032,4.564348191467836
1,1,47,7.0015,3.9512437185814275
1,1,47,8.9981,3.6888794541139363
1,2,43,11.0014,3.6109179126442243
1,2,51,11.0014,2.772588722239781
1,2,51,11.0014,3.258096538021482
1,2,55,6.0032,2.833213344056216
1,2,55,0.0,2.833213344056216
1,3,55,11.0014,2.0794415416798357
